exercise,file,label,label_source,window_mean,window_std,window_min,window_max,scaled_mean,scaled_std,scaled_min,scaled_max,prob
m07,example_001.json,1,labels_manifest,32.147342681884766,61.86412811279297,-10.061241149902344,178.9462432861328,29105.37890625,88477.609375,-11.623071670532227,366698.0,1.0
m07,example_002.json,1,labels_manifest,31.8497314453125,61.374916076660156,-15.09368896484375,178.6087646484375,28166.6015625,86244.59375,-12.073469161987305,384322.34375,1.0
m07,example_003.json,1,labels_manifest,32.12430953979492,61.67021560668945,-7.550811767578125,179.77859497070312,29289.9296875,89222.125,-12.525525093078613,404233.75,1.0
m07,example_004.json,1,labels_manifest,32.15926742553711,61.72771072387695,-10.309867858886719,178.8202362060547,28936.12890625,88014.4140625,-12.523898124694824,378419.3125,1.0
m07,example_005.json,1,labels_manifest,32.04570770263672,62.027130126953125,-8.208686828613281,179.481201171875,30202.306640625,91571.0625,-13.07911205291748,372602.5,1.0
m07,example_006.json,1,labels_manifest,31.791669845581055,61.37082290649414,-9.414932250976562,179.80711364746094,28035.81640625,85974.453125,-12.63833999633789,375654.1875,1.0
m07,example_007.json,1,labels_manifest,32.16752624511719,62.08049392700195,-6.4663848876953125,178.64703369140625,29868.1796875,90558.9453125,-11.191866874694824,383973.40625,1.0
m07,example_008.json,1,labels_manifest,31.654199600219727,61.29088592529297,-7.783317565917969,179.29205322265625,27652.392578125,85070.265625,-11.836848258972168,380236.71875,1.0
m07,example_009.json,1,labels_manifest,31.895158767700195,61.31319808959961,-10.219169616699219,178.5446319580078,29317.107421875,89569.453125,-12.086139678955078,390820.03125,1.0
m07,example_010.json,1,labels_manifest,32.099605560302734,61.73442840576172,-8.131744384765625,178.91732788085938,29791.32421875,90527.2734375,-10.948594093322754,386446.53125,1.0
m07,example_011.json,1,labels_manifest,32.28824234008789,62.219444274902344,-13.721221923828125,179.51504516601562,30870.01171875,93222.5703125,-11.838318824768066,377443.15625,1.0
m07,example_012.json,1,labels_manifest,32.01776885986328,61.14754867553711,-6.5702667236328125,179.15130615234375,27876.77734375,85704.34375,-12.655244827270508,411499.0,1.0
m07,example_013.json,1,labels_manifest,31.963823318481445,61.4552116394043,-7.556602478027344,178.7736358642578,28768.3203125,88637.9921875,-11.334845542907715,423930.5,1.0
m07,example_014.json,1,labels_manifest,31.624189376831055,61.23268127441406,-14.697601318359375,178.59671020507812,27213.818359375,84703.3203125,-12.642101287841797,368341.15625,1.0
m07,example_015.json,1,labels_manifest,32.44718933105469,62.6488037109375,-7.3303070068359375,179.19662475585938,31601.603515625,95229.890625,-12.045763969421387,391657.21875,1.0
m07,example_016.json,1,labels_manifest,32.183773040771484,62.18472671508789,-6.3960723876953125,178.65565490722656,30814.849609375,93153.1953125,-12.045772552490234,371938.09375,1.0
m07,example_017.json,1,labels_manifest,31.793642044067383,60.87933349609375,-8.847465515136719,178.18310546875,26151.75,80736.9296875,-12.635824203491211,353989.21875,1.0
m07,example_018.json,1,labels_manifest,32.15041732788086,61.77397537231445,-13.171722412109375,178.93589782714844,29048.8203125,88947.1796875,-11.926155090332031,378208.4375,1.0
m07,example_019.json,1,labels_manifest,31.908376693725586,61.47905731201172,-13.638900756835938,178.74063110351562,28794.462890625,88122.0234375,-12.188913345336914,399732.25,1.0
m07,example_020.json,1,labels_manifest,31.860958099365234,60.99724197387695,-7.981597900390625,178.1494598388672,26827.36328125,83050.09375,-11.8204927444458,375499.875,1.0
m07,example_021.json,1,labels_manifest,32.446876525878906,62.53396987915039,-5.223541259765625,179.52981567382812,31235.62890625,94339.546875,-11.800467491149902,373993.21875,1.0
m07,example_022.json,1,labels_manifest,32.412452697753906,62.30727767944336,-5.972389221191406,179.1830596923828,32731.138671875,98860.7578125,-12.301074028015137,403140.71875,1.0
m07,example_023.json,1,labels_manifest,32.02528381347656,61.55747604370117,-16.041061401367188,179.69589233398438,28404.208984375,87744.75,-13.030311584472656,403345.0,1.0
m07,example_024.json,1,labels_manifest,31.661243438720703,60.89201354980469,-9.705947875976562,179.06219482421875,25795.029296875,80544.9765625,-11.55879020690918,359262.34375,1.0
m07,example_025.json,1,labels_manifest,31.727537155151367,61.16844940185547,-10.249374389648438,177.21188354492188,27494.44921875,85040.1328125,-11.666411399841309,388743.09375,1.0
m07,example_026.json,1,labels_manifest,31.982839584350586,61.61948013305664,-9.067092895507812,179.036376953125,28445.63671875,87363.171875,-11.94185733795166,371046.34375,1.0
m07,example_027.json,1,labels_manifest,32.1234245300293,61.56438064575195,-5.860260009765625,178.822998046875,29028.904296875,88379.4921875,-11.551641464233398,370454.21875,1.0
m07,example_028.json,1,labels_manifest,32.19586944580078,62.19572067260742,-8.099380493164062,178.8276824951172,30623.322265625,92816.8671875,-11.49899673461914,374948.28125,1.0
m07,example_029.json,1,labels_manifest,32.21916580200195,62.085060119628906,-8.324714660644531,178.8279266357422,30654.07421875,93475.2109375,-11.087817192077637,387828.40625,1.0
m07,example_030.json,1,labels_manifest,32.5257453918457,62.175682067871094,-7.471183776855469,179.0506134033203,31053.736328125,93789.25,-12.275712966918945,374017.0625,1.0
m07,example_031.json,1,labels_manifest,32.20045852661133,61.60358428955078,-8.193145751953125,178.43893432617188,30044.787109375,91274.734375,-12.744482040405273,390522.46875,1.0
m07,example_032.json,1,labels_manifest,32.17578887939453,61.61201477050781,-8.201812744140625,179.12567138671875,29297.837890625,89813.5859375,-12.46852970123291,421996.59375,1.0
m07,example_033.json,1,labels_manifest,32.154380798339844,61.943359375,-8.274703979492188,177.77903747558594,29992.875,90932.953125,-11.601677894592285,379073.46875,1.0
m07,example_034.json,1,labels_manifest,32.381290435791016,62.02812957763672,-13.501358032226562,178.6951446533203,31958.146484375,96492.6796875,-12.765359878540039,387548.9375,1.0
m07,example_035.json,1,labels_manifest,32.02718734741211,61.71614456176758,-8.702507019042969,177.34579467773438,29683.716796875,90206.03125,-11.75879192352295,394471.625,1.0
m07,example_036.json,1,labels_manifest,31.718469619750977,61.32707595825195,-7.36370849609375,178.7567901611328,27716.810546875,85710.0234375,-11.294045448303223,406744.125,1.0
m07,example_037.json,1,labels_manifest,31.742578506469727,61.20207977294922,-11.976455688476562,178.02618408203125,27259.9140625,83977.1328125,-11.661686897277832,380690.34375,1.0
m07,example_038.json,1,labels_manifest,31.601543426513672,60.54702377319336,-8.487358093261719,178.63954162597656,25284.67578125,78348.0234375,-12.845144271850586,380148.25,1.0
m07,example_039.json,1,labels_manifest,32.220699310302734,61.400840759277344,-11.606315612792969,178.49929809570312,28104.068359375,86302.90625,-13.365116119384766,400807.46875,1.0
m07,example_040.json,1,labels_manifest,31.899728775024414,61.22792053222656,-5.8021087646484375,176.30958557128906,28104.330078125,86250.4375,-12.1773681640625,375682.4375,1.0
m07,example_041.json,1,labels_manifest,31.925769805908203,61.3226203918457,-6.915916442871094,178.4442596435547,27458.052734375,84469.6953125,-10.743408203125,384248.0625,1.0
m07,example_042.json,1,labels_manifest,31.860624313354492,61.299217224121094,-7.682342529296875,178.77786254882812,28464.654296875,87029.5078125,-11.896516799926758,372185.34375,1.0
m07,example_043.json,1,labels_manifest,32.23096466064453,61.75046157836914,-10.89178466796875,179.64820861816406,29265.826171875,89562.8359375,-12.897111892700195,397325.65625,1.0
m07,example_044.json,1,labels_manifest,32.2083740234375,62.22117233276367,-6.4359893798828125,179.60850524902344,31309.3828125,94686.046875,-12.36284351348877,395794.4375,1.0
m07,example_045.json,1,labels_manifest,32.18116760253906,62.2095832824707,-8.839340209960938,178.7274627685547,30822.22265625,93522.2890625,-12.494624137878418,376527.875,1.0
m07,example_046.json,1,labels_manifest,32.035892486572266,61.524444580078125,-8.682243347167969,179.21743774414062,28687.541015625,87804.8671875,-12.228805541992188,369993.59375,1.0
