threshold,TP,FN,FP,TN,Recall,Precision,F1,Specificity,Balanced_Accuracy,PASS
0.05,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.055,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.06,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.065,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.07,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.075,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.08,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.085,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.09,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.095,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.1,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.105,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.11,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.115,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.12,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.125,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.13,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.135,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.14,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.145,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.15,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.155,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.16,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.165,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.17,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.175,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.18,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.185,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.19,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.195,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.2,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.205,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.21,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.215,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.22,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.225,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.23,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.235,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.24,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.245,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.25,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.255,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.26,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.265,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.27,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.275,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.28,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.285,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.29,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.295,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.3,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.305,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.31,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.315,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.32,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.325,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.33,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.335,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.34,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.345,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.35,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.355,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.36,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.365,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.37,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.375,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.38,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.385,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.39,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.395,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.4,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.405,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.41,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.415,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.42,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.425,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.43,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.435,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.44,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.445,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.45,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.455,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.46,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.465,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.47,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.475,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.48,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.485,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.49,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.495,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.5,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.505,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.51,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.515,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.52,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.525,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.53,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.535,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.54,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.545,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.55,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.555,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.56,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.565,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.57,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.575,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.58,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.585,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.59,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
